From,To,Distance,Time,Cheapest Price,Aircraft Type,Number of Flights
AMD,IXC,583,105,59,Narrow Body,5.0
AMD,DED,598,110,103,Narrow Body,1.0
AMD,DEL,469,95,48,Narrow Body,24.0
AMD,JAI,326,80,53,Narrow Body,1.0
AMD,LKO,575,105,69,Narrow Body,4.0
AMD,IXB,1013,145,151,Narrow Body,3.0
AMD,VNS,664,130,81,Narrow Body,3.0
AMD,PAT,802,120,81,Narrow Body,3.0
AMD,BBI,868,125,82,Narrow Body,1.0
AMD,RPR,596,100,73,Narrow Body,1.0
AMD,HYD,551,105,69,Narrow Body,6.0
AMD,MAA,854,140,82,Narrow Body,3.0
AMD,BLR,758,130,68,Narrow Body,11.0
AMD,COK,926,145,232,Narrow Body,1.0
AMD,PNQ,321,90,48,Narrow Body,6.0
AMD,GOX,513,100,60,Narrow Body,1.0
AMD,GOI,537,95,52,Narrow Body,6.0
AMD,BOM,275,85,39,Narrow Body,21.0
BLR,GOI,299,75,26,Narrow Body,13.0
BLR,GOX,310,70,30,Narrow Body,7.0
BLR,BOM,517,125,42,Narrow Body,40.0
BLR,RAJ,776,125,64,Narrow Body,1.0
BLR,PNQ,448,90,31,Narrow Body,18.0
BLR,STV,637,105,51,Narrow Body,2.0
BLR,SAG,499,95,67,Narrow Body,1.0
BLR,AMD,758,145,65,Narrow Body,11.0
BLR,BDQ,696,130,142,Narrow Body,1.0
BLR,JDH,950,160,91,Narrow Body,1.0
BLR,UDR,826,135,74,Narrow Body,1.0
BLR,IDR,669,120,73,Narrow Body,3.0
BLR,ATQ,1291,185,210,Narrow Body,1.0
BLR,JAI,948,150,82,Narrow Body,10.0
BLR,IXC,1208,185,106,Narrow Body,4.0
BLR,BHO,697,115,64,Narrow Body,2.0
BLR,DEL,1061,140,60,Narrow Body,44.0
BLR,AGR,964,150,107,Narrow Body,1.0
BLR,DED,1173,170,102,Narrow Body,2.0
BLR,GWL,904,145,70,Narrow Body,2.0
BLR,NAG,552,100,52,Narrow Body,3.0
BLR,HYD,282,75,29,Narrow Body,22.0
BLR,KNU,930,140,55,Narrow Body,1.0
BLR,LKO,958,140,63,Narrow Body,8.0
BLR,IXD,884,140,191,Narrow Body,1.0
BLR,VNS,910,145,85,Narrow Body,7.0
BLR,RPR,611,115,52,Narrow Body,2.0
BLR,PAT,981,145,89,Narrow Body,5.0
BLR,DBR,1043,165,160,Narrow Body,3.0
BLR,IXR,858,150,59,Narrow Body,6.0
BLR,IXB,1157,175,101,Narrow Body,5.0
BLR,RDP,952,150,69,Narrow Body,1.0
BLR,GAU,1266,180,75,Narrow Body,7.0
BLR,CCU,960,150,77,Narrow Body,20.0
BLR,BBI,723,125,56,Narrow Body,6.0
BLR,IXA,1151,165,104,Narrow Body,2.0
BLR,VTZ,482,90,33,Narrow Body,8.0
BLR,MAA,167,70,22,Narrow Body,13.0
BLR,IXZ,1018,145,156,Narrow Body,2.0
BLR,TRV,330,75,54,Narrow Body,5.0
BLR,CJB,156,60,44,Narrow Body,3.0
BLR,COK,228,60,27,Narrow Body,16.0
BLR,IXE,190,70,40,Narrow Body,3.0
BOM,JGA,297,85,69,Narrow Body,1.0
BOM,RAJ,260,60,61,Narrow Body,3.0
BOM,AMD,275,80,37,Narrow Body,21.0
BOM,JDH,494,110,74,Narrow Body,2.0
BOM,BDQ,225,65,41,Narrow Body,2.0
BOM,UDR,387,90,51,Narrow Body,4.0
BOM,SXR,1035,170,170,Narrow Body,8.0
BOM,IXJ,947,170,111,Narrow Body,1.0
BOM,ATQ,879,145,73,Narrow Body,5.0
BOM,IXL,1078,135,198,Narrow Body,1.0
BOM,IXC,836,135,66,Narrow Body,10.0
BOM,JAI,566,125,40,Narrow Body,12.0
BOM,DEL,706,145,68,Narrow Body,70.0
BOM,DED,835,135,94,Narrow Body,4.0
BOM,BEK,766,140,166,Narrow Body,1.0
BOM,GWL,603,115,54,Narrow Body,1.0
BOM,IDR,314,80,51,Narrow Body,5.0
BOM,KNU,696,120,66,Narrow Body,3.0
BOM,LKO,735,130,58,Narrow Body,11.0
BOM,BHO,408,95,64,Narrow Body,3.0
BOM,GOP,855,155,113,Narrow Body,3.0
BOM,IXD,716,115,86,Narrow Body,1.0
BOM,VNS,774,135,87,Narrow Body,8.0
BOM,DBR,964,145,121,Narrow Body,2.0
BOM,PAT,899,160,64,Narrow Body,5.0
BOM,IXB,1113,175,141,Narrow Body,3.0
BOM,GAU,1286,175,97,Narrow Body,6.0
BOM,NAG,423,105,46,Narrow Body,9.0
BOM,IXR,852,150,85,Narrow Body,4.0
BOM,RDP,975,145,67,Narrow Body,2.0
BOM,IXU,173,70,43,Narrow Body,2.0
BOM,CCU,1034,185,72,Narrow Body,19.0
BOM,RPR,592,115,80,Narrow Body,3.0
BOM,BBI,845,140,46,Narrow Body,5.0
BOM,VTZ,685,130,72,Narrow Body,2.0
BOM,HYD,386,90,51,Narrow Body,14.0
BOM,TIR,580,105,96,Narrow Body,3.0
BOM,MAA,642,120,36,Narrow Body,21.0
BOM,BLR,517,90,40,Narrow Body,40.0
BOM,IXM,728,110,85,Narrow Body,3.0
BOM,TRV,781,135,62,Narrow Body,4.0
BOM,COK,660,125,66,Narrow Body,9.0
BOM,CJB,622,110,62,Narrow Body,5.0
BOM,CCJ,586,135,72,Narrow Body,2.0
BOM,CNN,526,115,48,Narrow Body,2.0
BOM,IXE,443,95,110,Narrow Body,5.0
BOM,GOI,263,75,25,Narrow Body,26.0
BOM,GOX,241,70,39,Narrow Body,6.0
BOM,IXZ,1417,205,142,Narrow Body,2.0
PNQ,AMD,321,90,51,Narrow Body,6.0
